X [s],L_Quad: EMG 1 [Volts],L_Hamstrings: EMG 2 [Volts],L_AnteriorTibialis: EMG 3 [Volts],L_Calf: EMG 4 [Volts],R_Quad: EMG 5 [Volts],R_Hamstrings: EMG 6 [Volts],R_AnteriorTibialis: EMG 7 [Volts],R_Calf: EMG 8 [Volts],L_Quad: Acc 1.X [g],L_Quad: Acc 1.Y [g],L_Quad: Acc 1.Z [g],L_Hamstrings: Acc 2.X [g],L_Hamstrings: Acc 2.Y [g],L_Hamstrings: Acc 2.Z [g],L_AnteriorTibialis: Acc 3.X [g],L_AnteriorTibialis: Acc 3.Y [g],L_AnteriorTibialis: Acc 3.Z [g],L_Calf: Acc 4.X [g],L_Calf: Acc 4.Y [g],L_Calf: Acc 4.Z [g],R_Quad: Acc 5.X [g],R_Quad: Acc 5.Y [g],R_Quad: Acc 5.Z [g],R_Hamstrings: Acc 6.X [g],R_Hamstrings: Acc 6.Y [g],R_Hamstrings: Acc 6.Z [g],R_AnteriorTibialis: Acc 7.X [g],R_AnteriorTibialis: Acc 7.Y [g],R_AnteriorTibialis: Acc 7.Z [g],R_Calf: Acc 8.X [g],R_Calf: Acc 8.Y [g],R_Calf: Acc 8.Z [g]
54.07,-1.6482820000003817e-05,-2.0108379999996182e-05,-2.5210919999975193e-05,-2.0846840000061062e-05,-3.7262499999942754e-06,-1.0775920000003816e-05,-7.754634000022899e-06,-1.3327240000007633e-05,-1.8494411764705854,1.1156255882352861,1.7129500000000129,-1.9938695588235402,0.9778301323529391,2.04239,-1.9855788235294147,0.99501,1.951632794117643,1.963067205882344,1.0367716176470578,-2.0046520588235306,1.9300714705882511,1.2492148529411735,1.5460136764705752,-1.7408552941176332,1.5175729411764498,-1.8311373529411508,-1.5363519117647237,1.4345751470588393,1.5693476470588166,0.5797919117656893,1.9509813235294702,-1.7864124999999773
54.08,-1.57778e-05,-3.52483e-05,-2.76951e-05,1.25887e-05,-8.89601e-06,-2.18204e-06,-2.85344e-06,-8.39246e-07,-1.8742225373134194,1.1531425373134194,1.63870641791048,-1.9384304477612153,1.013768805970125,2.0355329850746324,-1.9539489552238993,0.9984376567164153,1.9789540298507329,2.0236865671641495,1.0496055223880516,-1.9815474626865832,1.9372920895522014,1.287699552238782,1.5996925373134168,-1.8998952238805007,1.656748656716351,1.461223134325734,-1.4939285074626838,1.3526949253731664,1.6145995522387846,-1.9223204477612155,1.5539310447763122,-1.9203931343282992
54.09,3.356960001526579e-08,-2.534520000001908e-05,-2.712443999999809e-05,5.958649999992367e-05,-1.3763599999961835e-06,-4.061952000034348e-06,-6.076139999996184e-06,-9.735236000038164e-07,-1.9347061194030133,1.16017,1.6060601492537228,-1.921600149253725,1.0553164179104608,2.01419,-1.8682676119402508,1.0324062686567381,1.973970149253725,2.053149999999998,1.074133134328369,-1.9470332835820918,0.7117620895500514,1.367905820895566,1.55652044776117,-2.0490031343283692,1.5652385074625912,0.6780350746246955,-1.5974022388060265,1.2973170149253537,1.6729195522388278,-1.766718656716316,1.302606865671631,1.9375325373133006
54.1,-1.1715880000003816e-05,-2.4203819999991413e-05,-4.088805999999809e-05,-1.9906900000017175e-05,-3.356980000095412e-08,1.6784719999522953e-07,6.378268000014311e-07,-9.60100400000334e-06,-2.0382983823529477,1.1536589705882347,1.6408576470588279,-1.9199991176470594,1.07155,2.01093044117647,-1.7272833823529334,1.0855283823529438,1.9495602941176455,2.040671323529411,1.0909195588235299,-1.9627701470588248,-1.962831764705877,1.477408235294123,1.52350044117647,-2.020171911764702,1.2343995588235093,-1.9358132352941086,-1.7459470588235368,1.2469016176470562,1.6934608823529407,-1.5124757352941056,1.367277058823537,1.6454157352941057
54.11,-2.0108379999994275e-05,-3.0514979999984733e-05,-3.30663e-05,-1.9772679999994274e-05,-6.54612e-06,-4.330510000003817e-06,-9.56741e-06,-1.6415680000003816e-05,2.048787647058824,1.145719411764705,1.6705947058823525,-1.9665611764705901,1.0871858823529428,1.9691688235294098,-1.6495023529411705,1.1049652941176475,1.9476035294117673,1.9961835294117622,1.0765211764705853,-1.9964205882352952,-1.8831523529411704,1.5296047058823525,1.5632511764705916,-1.9461841176470573,0.7999890588234968,-1.930777647058841,-1.8063723529411755,1.1985635294117623,1.6473688235294082,-1.5324447058823687,1.3829199999999837,0.7068617647054303
54.120000000000005,-2.3834549999994037e-05,-3.4381083333338306e-05,-3.3206216666665675e-05,-7.329419999992049e-06,-4.86763e-06,-8.336510000003976e-06,5.846748333308486e-06,-1.2029199999992048e-05,-1.1064237313468936,1.124398955223863,1.6614944776119334,-2.0092020895522746,1.0988477611940335,1.9515422388059631,-1.6185077611940335,1.1015544776119333,1.977451044776137,1.9850877611940334,1.0407011940298294,-1.9895989552238662,-1.8333989552238628,1.5111211940298328,1.6019088059701707,-2.0033097014926122,0.5466574029849997,0.9930265671676319,-1.7694201492536956,1.1468223880596586,1.5868246268656252,-1.6484465671642077,1.1139952238803972,-1.5860413432832356
54.13,-6.445410000000477e-06,-3.2663459999997134e-05,-3.665826000001479e-05,1.1850160000006679e-05,-5.270463999995707e-06,-8.191071999984257e-06,-1.1178759999997138e-05,-4.4647900000019085e-06,-1.9263470149253656,1.077497313432833,1.6789352238806006,-2.0070347761193994,1.0402247761193995,1.9346425373134333,-1.666905373134334,1.0805649253731329,1.9879749253731331,2.0031300000000005,1.01918,-1.9657923880596995,-1.917870746268669,1.4783523880596994,1.6184476119403,1.8603308955223616,0.7483169402985432,1.6896319402984983,-1.6836244776119322,1.0773795522387988,1.529699850746266,-1.5205020895522317,0.830568402985065,-1.2768146268656655
54.14,-1.0775919999996183e-05,-4.0988820000005724e-05,-4.36408000007633e-07,0.00010645020000007729,-4.129089999998092e-06,1.1715879999999046e-05,1.84634e-06,-2.18204e-06,-1.8723676470588262,1.0505776470588262,1.7147888235294075,-1.980070882352943,1.0073344117647092,1.9435764705882337,-1.7384873529411653,1.0537779411764758,1.9790041176470596,2.000210882352943,1.0162167647058833,-1.95377,-1.9722479411764757,1.4633667647058832,1.6481979411764645,1.6536497058823678,1.0683542647058504,1.6029391176470684,-1.5851670588235443,0.9642039705882561,1.5442949999999913,-1.4991479411764645,0.7142085588235467,-1.2140855882353019
54.15,-2.2827450000005964e-05,-2.7079699999996023e-05,-3.250679999999205e-05,-2.8758149999978135e-05,-1.6784916667859298e-07,-6.35029500000497e-06,-1.9022913333233946e-06,-5.594949999602451e-08,-1.9049536764705892,1.0482689705882355,1.7259257352941182,-1.991797941176471,1.0079867647058827,1.943932058823529,-1.8153754411764735,1.0254620588235288,2.0127732352941208,1.9668004411764686,0.9914556617647049,-1.9899585294117668,-1.9461226470588249,1.4770547058823538,1.7128952941176496,1.713008382352956,1.3877739705882437,1.4441145588235231,-1.4700010294117611,0.8079862941176443,1.6372442647058851,-1.6961245588235396,0.658522205882349,-1.288849705882362
54.160000000000004,-1.0977340000001908e-05,-3.266345999999809e-05,-3.3670559999998096e-05,-4.951549999997138e-05,-2.5848800000019083e-06,-2.1148999999980915e-06,5.606164000035302e-06,6.713959999713766e-08,-1.9118559701492475,1.05141,1.7435080597015054,-1.9924259701492473,1.0139470149253764,1.917867910447739,-1.861534029850756,1.01918,-0.8291207462719052,1.9360259701492473,0.9845482238806034,-2.046476119403017,-1.9703010447761289,1.4695149253731152,1.772546119403017,-0.7266716417940093,1.4804019402984916,1.3854020895522612,-1.482562238806034,0.8553994626866596,1.7028631343283933,-1.9124623880598004,0.5800270746268338,-1.514911492537441
54.17,-2.061190000000334e-05,-2.3398139999998094e-05,-2.1417579999994753e-05,-8.191018399965176e-06,-4.19623e-06,-1.0775926000008586e-05,-3.356983999997615e-06,-5.941859999998092e-06,-1.8740356716417674,1.060903582089557,1.7775407462686732,-1.9501610447761075,1.0455153731343354,1.8655628358208838,-1.8462585074626512,1.051286119403011,-2.02628,1.943123582089557,1.0213453731343354,2.0288582089552194,-1.99248432835823,1.3772259701491996,1.856842238806022,-1.440901194029728,1.3212488059700833,1.5769037313433685,-1.7194594029851384,1.0830932835821272,1.7830125373134542,1.924548955223706,0.7030430447762185,-1.7362929850746929
54.18,-1.795989999999523e-05,-3.0045019999997614e-05,-2.5076640000001907e-05,1.574428400002767e-05,5.471884000002863e-06,6.21041999999523e-06,-9.500270000002862e-06,-1.3864359999998092e-05,-1.8356361764705869,1.06752,1.8140179411764743,-1.9229589705882324,1.0661010294117677,1.8250344117646993,-1.7406747058823373,1.1223166176470685,-2.02628,1.957734117647061,1.0365972058823545,2.0142492647058803,-2.011582352941174,1.2211957352940954,2.0069039705882568,-1.2449444117646993,1.2339872058823544,1.7226058823529486,-1.9473664705882738,1.1679897058823618,1.8527604411764818,1.4932289705881834,0.9085776617647244,-1.8795348529411904
54.19,-1.0071e-05,-2.29953e-05,-3.3402e-05,-2.29953e-05,5.87472e-06,2.51774e-06,-1.29244e-05,-6.37827e-06,-1.8393105882352891,1.0402710294117796,1.8756861764705746,-1.9607532352941115,1.07558,1.7890755882353016,-1.6197685294117807,1.1642,-1.9903785294117808,1.945000294117657,1.0092261764706005,1.9812517647058923,-1.9798323529412063,1.1138494117647268,-1.9959423529412061,-1.2717847058823553,1.3534155882352608,1.6753332352941523,1.918100000000041,1.16289911764707,1.9076735294117686,1.3335097058823022,0.887784470588291,-2.005188823529397
54.2,-1.1178760000007633e-05,-2.9776439999992368e-05,-3.870602000002195e-05,-2.947430000007919e-05,-1.3662939999992367e-05,-2.0175500000034346e-05,9.063864000114493e-07,-2.1484699999990457e-06,-1.865685074626875,0.9611600149253454,1.9437826865671863,-1.9880388059701568,1.0781062686567182,1.7507823880596884,-1.5548961194029702,1.1566274626865616,-1.9053022388059406,1.9023586567164068,0.9546659999999851,1.9335661194029703,-1.8140344776118793,1.06048626865672,-1.8781247761193771,-1.2194559701492205,1.4739664179104681,1.493268208955161,1.7441046268656273,1.1168286567164067,1.8822186567164068,1.6738837313434296,0.5513469999998668,-1.9782358208954725
